avg temperature,max temp,min temp,rain,rain type,snow depth,snow type,sun hours,avg wind,max wind,gust,date
-0.2,2.4,-7.2,0.1,sn,0,2,0.0,5.1,0.4,6.6,2019-01-01
7.7,8.2,1.5,1.1,sn,0,0,0.0,7.8,11.6,19.0,2019-01-02
8.0,9.9,6.1,11.9,sl,0,0,0.0,8.0,14.0,22.8,2019-01-03
8.8,9.6,5.7,0.8,ri,0,0,0.0,8.3,11.4,18.1,2019-01-04
4.0,9.0,0.7,6.1,ri,0,0,0.2,6.1,9.0,15.0,2019-01-05
3.0,5.0,0.3,4.0,ri,0,2,0.0,4.6,8.3,14.6,2019-01-06
3.0,5.1,2.2,2.3,sl,0,0,0.0,3.8,7.5,13.4,2019-01-07
3.7,5.4,-0.2,0.0,ri,0,0,0.0,4.7,9.8,14.7,2019-01-08
7.9,9.1,4.8,1.9,,0,0,0.0,8.4,11.1,20.0,2019-01-09
3.3,8.6,2.4,2.2,ri,0,0,1.0,3.2,7.4,11.9,2019-01-10
5.7,7.9,2.5,0.1,ri,0,0,0.0,5.5,8.7,14.3,2019-01-11
1.1,5.0,0.3,6.7,ri,0,0,0.0,2.0,6.8,12.2,2019-01-12
-1.0,1.3,-3.0,5.1,ri,0,2,1.7,2.8,7.1,11.0,2019-01-13
-0.6,2.5,-3.6,0.0,sl,0,2,0.0,6.4,9.3,15.9,2019-01-14
-0.2,2.5,-1.4,5.1,,0,2,0.0,2.6,8.9,15.6,2019-01-15
-4.8,0.3,-7.4,0.0,sn,0,2,3.8,2.0,3.9,6.1,2019-01-16
-0.2,0.3,-6.4,0.0,,0,2,0.0,3.4,5.9,9.3,2019-01-17
3.3,4.3,0.2,3.0,,7,4,0.0,3.8,6.8,11.8,2019-01-18
1.4,5.2,-0.7,1.9,sl,0,0,0.0,4.4,12.1,19.2,2019-01-19
-0.1,0.8,-2.1,17.4,ri,11,4,0.8,5.2,11.5,17.5,2019-01-20
-1.7,4.0,-3.1,10.4,sn,13,4,0.0,1.8,4.6,8.6,2019-01-21
-2.6,0.7,-4.5,5.5,sl,18,4,1.9,1.6,4.7,8.6,2019-01-22
-3.8,-0.6,-6.0,9.6,sn,26,4,1.5,1.6,3.5,5.6,2019-01-23
-0.9,0.6,-7.1,2.5,sn,29,4,0.2,3.4,7.7,12.5,2019-01-24
-1.1,1.4,-4.4,0.4,sn,24,4,4.8,3.0,7.3,12.1,2019-01-25
-5.0,0.8,-8.0,0.0,sn,23,4,5.8,1.8,4.2,7.8,2019-01-26
-3.5,-1.2,-9.0,0.0,,22,4,0.1,3.3,6.8,11.6,2019-01-27
-4.3,-0.9,-6.6,4.8,,29,4,2.6,2.3,4.0,6.5,2019-01-28
-5.9,-2.1,-8.4,0.0,sn,26,4,5.7,2.1,4.2,7.9,2019-01-29
-6.3,-3.4,-9.1,0.0,,26,4,1.2,2.2,5.0,7.9,2019-01-30
-4.7,-2.0,-9.3,0.0,,25,4,6.1,1.61,3.21,6.0,2019-01-31
